PIT,ATCT,718-995-5426,0800-1630,412-269-9237
PSC,ATCT,509-542-4204,,509-542-4209
RDU,ATCT,404-305-5180,0800-1630,919-380-3125
RNO,ATCT,775-784-5582,,
SAN,ATCT,310-725-3300,0800-1630,619-299-0677
SAT,ATCT,817-222-5006,0730-1600,210-805-5507
SEA,ATCT,425-227-1389,0730-1600,206-768-2900
SFB,ATCT,404-305-5180,0700-1700,407-850-7000
SFO,ATCT,310-725-3300,0700-1530,650-8762883
SJC,ATCT,310-725-3300,0730-1600,408-982-0750
SJU,ATCT,404-305-5180,0730-1700,809-253-8663
SLC,ATCT,425-227-1389,0800-1630,801-325-9600
STL,ATCT,816-329-3000,0730-1600,314-890-1000
SYR,ATCT,315-455-3801,0800-1630,315-455-3800
TEB,ATCT,718-995-5426,0800-1630,201-288-1889
TPA,ATCT,404-305-5180,0730-1600,813-371-7700
TTN,ATCT,609-882-4422,,
